Number of Layers,Number of Neurons per Layer,Activation Function,Learning Rate,Optimizer,Batch Normalization,Regularization,Test Accuracy
3,64,sigmoid,0.01,SGD,True,False,0.8485999703407288
3,64,sigmoid,0.01,SGD,False,True,0.31209999322891235
3,64,sigmoid,0.01,SGD,False,False,0.3447999954223633
3,128,relu,0.001,Adam,True,True,0.8593999743461609
3,128,relu,0.001,Adam,True,False,0.8675000071525574
3,128,relu,0.001,Adam,False,True,0.8618000149726868
3,128,relu,0.001,Adam,False,False,0.8838000297546387
3,128,relu,0.001,SGD,True,True,0.772599995136261
3,128,relu,0.001,SGD,True,False,0.8302000164985657
3,128,relu,0.001,SGD,False,True,0.6247000098228455
3,128,relu,0.001,SGD,False,False,0.7312999963760376
3,128,relu,0.01,Adam,True,True,0.8514999747276306
3,128,relu,0.01,Adam,True,False,0.8601999878883362
3,128,relu,0.01,Adam,False,True,0.7049999833106995
3,128,relu,0.01,Adam,False,False,0.8605999946594238
3,128,relu,0.01,SGD,True,True,0.835099995136261
3,128,relu,0.01,SGD,True,False,0.8671000003814697
3,128,relu,0.01,SGD,False,True,0.7824000120162964
3,128,relu,0.01,SGD,False,False,0.8399999737739563
3,128,sigmoid,0.001,Adam,True,True,0.855400025844574
3,128,sigmoid,0.001,Adam,True,False,0.8723999857902527
3,128,sigmoid,0.001,Adam,False,True,0.8536999821662903
3,128,sigmoid,0.001,Adam,False,False,0.8766999840736389
3,128,sigmoid,0.001,SGD,True,True,0.772599995136261
3,128,sigmoid,0.001,SGD,True,False,0.8159999847412109
3,128,sigmoid,0.001,SGD,False,True,0.14669999480247498
3,128,sigmoid,0.001,SGD,False,False,0.3093999922275543
3,128,sigmoid,0.01,Adam,True,True,0.8324000239372253
3,128,sigmoid,0.01,Adam,True,False,0.8454999923706055
3,128,sigmoid,0.01,Adam,False,True,0.845300018787384
3,128,sigmoid,0.01,Adam,False,False,0.8582000136375427
3,128,sigmoid,0.01,SGD,True,True,0.8238000273704529
3,128,sigmoid,0.01,SGD,True,False,0.8536999821662903
3,128,sigmoid,0.01,SGD,False,True,0.34060001373291016
3,128,sigmoid,0.01,SGD,False,False,0.45969998836517334
